,ForecastCurrent
1459,52.166668
1460,81.166664
1461,94.041664
1462,95.541664
1463,102.5
1464,93.416664
1465,87.416664
1466,119.0
1467,95.541664
1468,116.041664
1469,70.416664
1470,40.208332
1471,28.541666
1472,16.125
1473,6.0
1474,1.458333
1475,0.666667
1476,5.5
1477,19.0
1478,26.458334
1479,139.208328
1480,105.666664
1481,31.416666
1482,21.291666
1483,16.375
1484,12.291667
1485,65.875
1486,73.333336
1487,96.916664
1488,98.708336
1489,84.333336
1490,78.166664
1491,70.333336
1492,69.5
1493,62.333332
1494,82.875
1495,88.333336
1496,57.0
1497,60.708332
1498,59.625
1499,78.375
1500,80.416664
1501,45.25
1502,43.375
1503,55.75
1504,80.208336
1505,97.541664
1506,98.958336
1507,107.0
1508,103.666664
1509,77.625
1510,46.291668
1511,44.458332
1512,25.708334
1513,11.916667
1514,14.333333
1515,7.5
1516,4.291667
1517,6.5
1518,0.75
1519,5.208333
1520,15.125
1521,9.833333
1522,16.125
1523,9.458333
1524,22.125
1525,40.333332
1526,64.958336
1527,135.666672
1528,210.625
1529,196.541672
1530,225.791672
1531,259.958344
1532,252.5
1533,238.75
1534,230.041672
1535,167.291672
1536,167.875
1537,198.75
1538,248.875
1539,304.375
1540,253.916672
1541,268.291656
1542,327.708344
1543,347.25
1544,326.166656
1545,310.75
1546,292.166656
1547,284.875
1548,336.0
1549,293.916656
1550,311.916656
1551,343.5
1552,331.5
1553,245.791672
1554,205.208328
1555,176.375
1556,142.416672
1557,106.916664
1558,172.458328
1559,197.166672
1560,152.583328
1561,129.625
1562,115.541664
1563,133.541672
1564,145.75
1565,154.416672
1566,160.375
1567,145.125
1568,127.5
1569,62.333332
1570,59.541668
1571,115.5
1572,138.916672
1573,160.75
1574,44.75
1575,44.625
1576,27.625
1577,29.208334
1578,48.708332
1579,29.5
1580,62.125
1581,77.416664
1582,129.0
1583,252.25
1584,289.166656
1585,327.458344
1586,317.916656
1587,320.625
1588,333.083344
1589,324.041656
1590,347.791656
1591,345.5
1592,349.541656
1593,326.291656
1594,310.916656
1595,312.375
1596,332.291656
1597,334.791656
1598,346.041656
1599,336.125
1600,321.875
1601,293.0
1602,306.375
1603,312.083344
1604,309.5
1605,251.291672
1606,154.375
1607,126.875
1608,137.083328
1609,62.958332
1610,73.333336
1611,109.958336
1612,115.291664
1613,175.125
1614,142.125
1615,100.041664
1616,124.916664
1617,98.166664
1618,82.083336
1619,39.625
1620,21.041666
1621,42.5
1622,86.208336
1623,61.125
1624,72.75
1625,61.583332
1626,68.958336
1627,94.083336
1628,152.125
1629,177.916672
1630,154.416672
1631,212.5
1632,237.958328
1633,213.416672
1634,184.666672
1635,237.75
1636,253.25
1637,289.875
1638,326.375
1639,307.583344
1640,336.125
1641,253.625
1642,296.75
1643,254.666672
1644,244.541672
1645,231.958328
1646,263.875
1647,365.416656
1648,260.75
1649,248.25
1650,237.416672
1651,297.291656
1652,247.041672
1653,313.666656
1654,352.25
1655,357.708344
1656,363.583344
1657,358.166656
1658,350.875
1659,346.416656
1660,350.875
1661,355.833344
1662,346.25
1663,337.083344
1664,333.583344
1665,337.583344
1666,309.875
1667,254.0
1668,256.25
1669,219.125
1670,222.0
1671,143.958328
1672,182.166672
1673,143.083328
1674,113.208336
1675,200.791672
1676,187.5
1677,286.541656
1678,298.0
1679,172.5
1680,368.958344
1681,324.166656
1682,361.708344
1683,352.666656
1684,369.833344
1685,276.875
1686,275.458344
1687,255.416672
1688,85.666664
1689,195.083328
1690,215.166672
1691,325.791656
1692,182.708328
1693,357.583344
1694,353.625
1695,342.583344
1696,357.375
1697,345.958344
1698,306.833344
1699,326.041656
1700,244.083328
1701,304.791656
1702,349.333344
1703,272.75
1704,351.708344
1705,354.666656
1706,352.666656
1707,347.75
1708,355.25
1709,346.041656
1710,344.708344
1711,333.083344
1712,352.625
1713,356.166656
1714,303.791656
1715,354.291656
1716,345.333344
1717,356.75
1718,301.833344
1719,357.125
1720,241.25
1721,304.125
1722,262.875
1723,87.541664
1724,46.333332
1725,112.291664
1726,61.375
1727,35.5
1728,17.375
1729,18.875
1730,4.666667
1731,1.791667
1732,2.291667
1733,0.375
1734,0.0
1735,0.0
1736,2.125
1737,8.708333
1738,17.333334
1739,18.291666
1740,24.791666
1741,46.583332
1742,64.125
1743,83.791664
1744,144.791672
1745,225.416672
1746,245.75
1747,270.708344
1748,298.0
1749,338.791656
1750,255.958328
1751,335.666656
1752,256.541656
1753,347.458344
1754,337.416656
1755,345.833344
1756,348.916656
1757,321.166656
1758,314.541656
1759,347.0
1760,351.083344
1761,347.708344
1762,350.75
1763,354.541656
1764,353.916656
1765,346.166656
1766,349.041656
1767,347.541656
1768,330.625
1769,270.0
1770,280.916656
1771,295.791656
1772,341.291656
1773,314.791656
1774,306.166656
1775,344.583344
1776,345.083344
1777,342.625
1778,339.708344
1779,318.291656
1780,343.375
1781,316.916656
1782,281.916656
1783,182.583328
1784,143.333328
1785,120.875
1786,128.75
1787,117.083336
1788,134.375
1789,92.791664
1790,84.416664
1791,64.208336
1792,35.166668
1793,34.583332
1794,36.458332
1795,29.666666
1796,30.833334
1797,27.541666
1798,41.791668
1799,27.875
1800,22.541666
1801,33.208332
1802,59.791668
1803,65.958336
1804,82.333336
1805,84.958336
1806,63.875
1807,82.333336
1808,139.0
1809,118.0
1810,121.458336
1811,168.541672
1812,193.958328
1813,148.708328
1814,131.083328
1815,108.416664
1816,138.416672
1817,111.416664
1818,144.958328
1819,86.916664
1820,103.916664
1821,101.583336
1822,200.416672
1823,220.541672
1824,195.208328
1825,256.708344
1826,257.541656
1827,252.125
1828,366.5
1829,338.875
1830,340.416656
1831,306.708344
1832,241.791672
1833,238.125
1834,239.0
1835,200.333328
1836,194.916672
1837,313.75
1838,267.541656
1839,236.666672
1840,157.708328
1841,129.916672
1842,123.708336
1843,68.958336
1844,52.666668
1845,68.916664
1846,68.083336
1847,89.625
1848,63.958332
1849,52.791668
1850,58.541668
1851,46.375
1852,23.541666
1853,40.083332
1854,28.5
1855,21.916666
1856,12.625
1857,15.208333
1858,19.833334
1859,27.875
1860,31.958334
1861,23.583334
1862,14.041667
1863,10.25
1864,8.916667
1865,6.583333
1866,9.708333
1867,7.666667
1868,30.5
1869,35.625
1870,13.625
1871,19.541666
1872,15.541667
1873,11.541667
1874,12.125
1875,31.583334
1876,31.666666
1877,34.458332
1878,37.875
1879,27.5
1880,23.541666
1881,17.25
1882,22.25
1883,45.166668
1884,62.166668
1885,78.458336
1886,177.458328
1887,198.958328
1888,183.541672
1889,227.333328
1890,244.583328
1891,231.833328
1892,296.333344
1893,324.375
1894,262.0
1895,287.75
1896,271.291656
1897,253.0
1898,232.958328
1899,199.75
1900,171.375
1901,183.333328
1902,186.541672
1903,201.791672
1904,197.583328
1905,172.5
1906,127.875
1907,102.5
1908,81.458336
1909,64.25
1910,36.958332
1911,12.041667
1912,0.916667
1913,0.041667
1914,22.125
1915,39.125
1916,33.208332
1917,27.25
1918,106.5
1919,142.0
1920,199.333328
1921,146.25
1922,137.583328
1923,115.916664
1924,105.958336
1925,121.458336
1926,166.375
1927,183.125
1928,100.0
1929,98.5
1930,100.291664
1931,114.416664
1932,103.291664
1933,186.041672
1934,160.875
1935,156.375
1936,165.25
1937,180.916672
1938,213.958328
1939,224.125
1940,206.25
1941,236.916672
1942,244.791672
1943,264.291656
1944,206.541672
1945,152.875
1946,154.25
1947,131.041672
1948,107.583336
